"","bank","assets","liabilities","buffer","weights","original_stress","additional_stress","original_losses","additional_losses","additional_defaults"
"1","b1",13.5722860844086,0.161967031890526,6.0686794277844,24.2538063965769,0.000433438713584938,0.000547704359342697,6.0686794277844,0.171663301032466,0
"2","b10",1.15924518282113,228.316326527679,226.497349429623,457.30926655104,0.00817255390610893,0.0234577487276548,226.497349429623,287.339650607096,6
"3","b100",0.552285343466224,0.887617937289178,7.71170020478366,11.8838775669845,0.000212376256362038,0.000301961506490375,7.71170020478366,1.88400528274577,0
"4","b1000",1.74272101811348,0.992047688458115,3.93553831016936,9.89894109522953,0.000176903543469157,0.00100870398661862,3.93553831016936,1.30768248421542,0
"5","b1001",1.06199007345719,0.314377452014014,2.72790440821317,5.23965560852265,9.36376562693555e-05,0.00220534195117118,2.72790440821317,0.700947210382828,0
"6","b1002",1.06993392707611,0.433148773852736,1.48353737703059,5.34646612873097,9.55464624055735e-05,7.35240540627359e-05,1.48353737703059,0.440095628296135,0
"7","b1003",9.40583110598865,0.87593217077665,0.796576047266943,12.7260785041603,0.000227427192484009,0.00144802789647517,0.796576047266943,0.977833208780445,0
"8","b1004",0.922390052285319,27.7923435102716,16.2331440486144,46.6164472786878,0.000833080490954451,0.0053328838766386,16.2331440486144,30.7269675908102,3
"9","b1005",1.24954548539839,9.26485810885777,4.3670205569456,17.7419701168708,0.000317065972168567,0.0153744326652986,4.3670205569456,9.53724117773107,1
"10","b1006",36.6261213607464,0.538656705059111,3.50664544927766,43.06278030701,0.000769573063892171,0.00182151035372097,3.50664544927766,0.570903763774702,0
"11","b1007",12.2391980414576,0.393015675479546,6.86410859191179,20.9711204795939,0.000374773977102117,1.66355989660905e-05,6.86410859191179,0.393015675479546,0
"12","b1008",1.13099804543498,0.704460972454399,8.87453942639139,12.4968745749271,0.000223331099086913,0.00238219062914518,8.87453942639139,0.746634019087293,0
"13","b1009",0.723997086134186,0.809808985795826,2.10564599043501,8.71063060562482,0.000155667298669807,0.00375683788982031,2.10564599043501,0.862686499883759,0
"14","b101",0.726455010818116,6.57480162524187,8.77309010280386,32.0290218631623,0.000572389249207179,0.00974091374019707,8.77309010280386,8.16012917681595,1
"15","b1010",0.54258478120326,0.952041123528033,2.59946630036247,8.37508227510589,0.000149670729127377,0.00158920705294879,2.59946630036247,1.51220681903237,0
"16","b1011",0.275581289927634,4.33370944569466,6.48143410562895,13.674642815241,0.00024437894381016,0.0192372475577299,6.48143410562895,10.4484829112195,0
"17","b1012",1.55598367676223,0.761192708974704,2.68391588330089,6.26988794961445,0.000112048893388798,0.00245467221894649,2.68391588330089,2.03365560575708,0
"18","b1013",0.566932431543829,38.0666452781845,15.8469303494236,56.0704117841821,0.00100203187724561,0.00656084299890085,15.8469303494236,39.1271997193407,1
"19","b1014",0.96302331370427,2238.37609028554,396.087744251367,2640.25820553276,0.0471839389424544,0.241977458987951,396.087744251367,3140.21740313094,109
"20","b1015",0.199709152822769,0.877201925497502,2.11760054568927,5.27458663186459,9.42619070600961e-05,0.000635252687933391,2.11760054568927,1.28006162292344,0
"21","b1016",391.809391861494,0.735575068509206,2.46797508374359,397.732593313401,0.00710786178374429,0.00176015223880341,2.46797508374359,1.03896474358674,0
"22","b1017",1.07733972838779,0.910111771896482,6.25296512053151,9.75426492416244,0.000174318041942165,0.00177915332605659,6.25296512053151,1.6256649231235,1
"23","b1018",0.102463528301686,0.992796352133155,3.83620627063476,6.55522517007438,0.000117148142378907,0.000607893039882692,3.83620627063476,1.25081734334141,0
"24","b1019",12.1919977350746,0.51702833455056,4.22429480592737,19.2614619923492,0.000344220745033542,0.00115345191834601,4.22429480592737,0.52871747469227,1
"25","b102",0.352288954877626,17.3856320466938,15.6439186351993,35.3473670048361,0.000631691250135202,0.0125410843509286,15.6439186351993,22.7340349369256,2
"26","b1020",0.274456704798157,0.985339706297964,2.67792567556808,5.23469195636823,9.35489510587456e-05,0.000296097041975681,2.67792567556808,1.14115597775323,0
"27","b1021",23.3380273885856,0.762095202226192,3.02177412232533,28.8607674574333,0.000515769513258317,0.00181036886349932,3.02177412232533,1.00459729573681,0
"28","b1022",8.64238611698653,0.756739889737219,1.65901921769227,12.8218535436503,0.00022913878402685,0.00166712352508338,1.65901921769227,1.74809697573009,1
"29","b1023",0.634854860791846,0.908322729403153,8.2021250834331,11.3269070691785,0.000202422660949986,0.000662051446407635,8.2021250834331,0.993898006454296,0
"30","b1024",0.116013725704871,0.185577753232792,6.19936121388944,7.73699060116777,0.000138267420723793,2.6040756571736e-05,6.19936121388944,0.198059839725901,0
